timestamp,,intention,query,u_id
1441390000000    ,,KS,"abstract classes
",A0082
1441390000000    ,,KS,"subclass
",A0082
1441420000000    ,,PS,"/n two in a row
",A0082
1440720000000    ,,ML,"how to get main method
",A0008
1440740000000    ,,KS,"new scanner (system.in)
",A0008
1440740000000    ,,NA,"nextInt()
",A0008
1440740000000    ,,NA,"do loop
",A0008
1440740000000    ,,NA,"while-do loop
",A0008
1441270000000    ,,KS,"what meaning of /n
",A0008
1441920000000    ,,KS,"nextString
",A0008
1441940000000    ,,ML,"how to converse case
",A0008
1441940000000    ,,NA,"how to converse downcase to upcase
",A0008
1441940000000    ,,NA,"how to converse down case to up case
",A0008
1441940000000    ,,NA,"how to use euqals to ignoring case
",A0008
1442630000000    ,,KS,"number format persentage
",A0008
1442630000000    ,,NA,"use number format to get persentage
",A0008
1444950000000    ,,KS,"simple
",A0008
1444950000000    ,,NA,"sample
",A0008
1445020000000    ,,ML,"JRadioButton
",A0008
1445020000000    ,,ML,"how to transfer int to color
",A0008
1445020000000    ,,NA,"how to transfer int to Color
",A0008
1445020000000    ,,ML,"Color[]
",A0008
1448010000000    ,,ML,"what method can decide character to operand 
",A0008
1448010000000    ,,NA,"askto method
",A0008
1448010000000    ,,NA,"ask to method
",A0008
1441330000000    ,,KS,"How to call from other class
",B0026
1441330000000    ,,NA,"How to call methods from other class
",B0026
1441380000000    ,,PS,"call method from other class
",B0026
1441380000000    ,,NA,"print method from other class
",B0026
1441380000000    ,,NA,"call private method from other class
",B0026
1441380000000    ,,NA,"print private value from other method
",B0026
1441380000000    ,,NA,"print private value from other class
",B0026
1442600000000    ,,PS,"parser
",B0026
1442610000000    ,,NA,"parser java
",B0026
1442610000000    ,,PS,"array
",B0026
1442620000000    ,,PS,"read from
",B0026
1442620000000    ,,PS,"read from java
",B0026
1442620000000    ,,NA,"read string from java
",B0026
1442620000000    ,,KS,"parseInteger
",B0026
1441760000000    ,,KS,"what is the length method
",B0018
1442620000000    ,,KS,"how do you know whats private or public
",B0018
1442620000000    ,,KS,"whats the symbol for private method
",B0018
1442620000000    ,,KS,"how to create a subclass
",B0018
1442620000000    ,,NA,"how to create a subclass in java
",B0018
1442630000000    ,,ML,"how to write a toString
",B0018
1442630000000    ,,KS,"how to format decimals
",B0018
1442640000000    ,,KS,"how to use java.text.DecimalFormat
",B0018
1442640000000    ,,NA,"how to use java.text.DecimalFormat in a string
",B0018
1440750000000    ,,ML,"initialize array list
",A0065
1444950000000    ,,KS,"sorting numbers in a array
",A0043
1442370000000    ,,PS,"how to take of certain decimal places
",A0020
1442370000000    ,,NA,"how to take off certain decimal places in java
",A0020
1442370000000    ,,NA,"fixing decimal places in java
",A0020
1446070000000    ,,KS,"Does .contains search through an entire array
",A0020
1446070000000    ,,NA,"how to search through an entire array for an item
",A0020
1446070000000    ,,NA,"how to search through an entire array for an item in java
",A0020
1446070000000    ,,NA,"finding objects in an array
",A0020
1446160000000    ,,KS,"how to check if an arraylist is empty
",A0020
1446160000000    ,,NA,"how to return an array list from a different class
",A0020
1446240000000    ,,PS,"selection sorting arraylists
",A0020
1446240000000    ,,NA,"using comparator with arrays
",A0020
1446510000000    ,,PS,"write a text (string) to the specified file
",A0020
1446510000000    ,,NA,"java write a string to a specified file
",A0020
1446700000000    ,,NA,"recursive counter
",A0020
1446700000000    ,,NA,"how to count something in a recursive method java
",A0020
1446700000000    ,,NA,"counting even values in an array recursively
",A0020
1446700000000    ,,NA,"getting recursive methods to work in java
",A0020
1447200000000    ,,NA,"counting the size of nodes in a linked list
",A0020
1447200000000    ,,NA,"counting the size of nodes in a linked list java
",A0020
1447200000000    ,,NA,"counting the number of nodes in a linked list java
",A0020
1442630000000    ,,KS,"	
",A0019
1442630000000    ,,NA,"	
",A0019
1442630000000    ,,KS,"inheritance
",A0019
1442630000000    ,,KS,"abstract classes
",A0019
1442630000000    ,,NA,"implementing abstract classes
",A0019
1442630000000    ,,KS,"parsing a string
",A0019
1442630000000    ,,KS,"java split funtion
",A0019
1444010000000    ,,KS,"panels
",A0019
1444010000000    ,,KS,"vector
",A0019
1444010000000    ,,NA,"vector java
",A0019
1444010000000    ,,KS,"what is a vector
",A0019
1444020000000    ,,KS,"buttonlistener class
",A0019
1444120000000    ,,PS,"new line with setText java
",A0019
1444950000000    ,,PS,"get and set methods
",A0019
1444950000000    ,,PS,"merge arraylist
",A0019
1447370000000    ,,KS,"how to get size of linkedlist
",A0019
1440750000000    ,,PS,"scanner never closes
",A0080
1440770000000    ,,KS,"how to use variable from another method
",A0080
1440770000000    ,,KS,"Calling a function and getting value from variable in that method
",A0080
1440770000000    ,,NA,"Calling a function 
",A0080
1440770000000    ,,NA,"Calling a function java
",A0080
1440770000000    ,,NA,"displaying variables from other function
",A0080
1440770000000    ,,NA,"displaying variables from other method java
",A0080
1440770000000    ,,NA,"how to get more than one input
",A0080
1440780000000    ,,KS,"passing variables to main method
",A0080
1440780000000    ,,NA,"passing variables to main method java
",A0080
1441260000000    ,,KS,"how to use stringto()
",A0080
1441260000000    ,,NA,"how to use toString()
",A0080
1441260000000    ,,NA,"toString
",A0080
1441260000000    ,,NA,"toString
",A0080
1441260000000    ,,NA,"toString() java
",A0080
1442430000000    ,,KS,"lineToParse
",A0080
1442430000000    ,,NA,"lineToParse java
",A0080
1444950000000    ,,KS,"merge sort examples java
",A0080
1444950000000    ,,NA,"merge sort examples  arraylisr java
",A0080
1444950000000    ,,NA,"merge sort arraylist java
",A0080
1444950000000    ,,KS,"read number sequence from console
",A0080
1444950000000    ,,NA,"read number sequence from console java
",A0080
1440730000000    ,,KS,"why do we need static modifier?
",A0041
1441070000000    ,,KS,"why do we need static functions
",A0041
1441080000000    ,,NA,"java static method
",A0041
1441390000000    ,,PS,"constructors java
",A0041
1441390000000    ,,KS,"tostring
",A0041
1441390000000    ,,NA,"tostring java
",A0041
1441400000000    ,,KS,"super keyword java
",A0041
1442370000000    ,,KS,"protected keyword
",A0041
1442910000000    ,,KS,"type conversions
",A0041
1442910000000    ,,NA,"type conversions java
",A0041
1442910000000    ,,NA,"type conversions java int double string
",A0041
1442910000000    ,,KS,"transform double into string
",A0041
1442910000000    ,,KS,"generic data types java
",A0041
1444950000000    ,,KS,"jradiobutton default selection
",A0041
1444950000000    ,,NA,"return array function
",A0041
1444950000000    ,,NA,"return array function java
",A0041
1444950000000    ,,NA,"merge and sort arrays
",A0041
1444950000000    ,,NA,"merge and sort array numbers
",A0041
1444950000000    ,,NA,"merge and sort array numbers java
",A0041
1444950000000    ,,PS,"3 parting merge sort
",A0018
